Bar: La Pétaudière | ID: node/253007445 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Flunch | ID: node/1877521427 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Architecture.
Bar: La Terrasse | ID: node/1877647088 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Activity, Architecture.
Bar: Pizzeria | ID: node/1896094212 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Protection, Furniture.
Bar: Le Sultan - Salon de thé-Chicha | ID: node/1896097719 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Edo | ID: node/1896099864 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Boundaries, Furniture.
Bar: La Renaissance | ID: node/1896104342 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Activity, Furniture.
Bar: Café pastis | ID: node/1896122217 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Café de la Poste | ID: node/1896127602 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Dauphin | ID: node/1896131267 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Mayday | ID: node/1896148527 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: (sans nom) | ID: node/1896163367 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Le Clignancourt | ID: node/1896172332 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Maison Royale | ID: node/1896179425 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Stéphanois | ID: node/1896179669 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Architecture, Activity.
Bar: Chez Clara | ID: node/1896234388 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Le Fontenoy | ID: node/1896234483 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: La Mascotte | ID: node/1896243268 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Bordier num num | ID: node/1896260584 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Chiyoda | ID: node/1896283672 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: La Locanda di Pulcinella | ID: node/1896325529 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Protection, Activity.
Bar: Le 975 | ID: node/1896352723 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Protection, Activity.
Bar: Délices et saveurs | ID: node/1896371545 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Protection, Architecture.
Bar: Le Vizir | ID: node/1896376768 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Activity.
Bar: La Maison Rose | ID: node/1904540725 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Architecture.
Bar: (sans nom) | ID: node/1909186940 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Architecture.
Bar: (sans nom) | ID: node/1909187152 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Chez Pradel | ID: node/1909235653 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Pathya | ID: node/1909251826 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Architecture.
Bar: L'astrolabe 18 | ID: node/1909254294 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Boundaries.
Bar: Le Celtic | ID: node/1909297635 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Furniture, Protection.
Bar: Miyazaki | ID: node/1909834932 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Le 119 | ID: node/1909836168 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Jade | ID: node/1909836698 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: (sans nom) | ID: node/1909836883 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Activity, Protection.
Bar: Chez soi | ID: node/1909838773 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: L'Anjou | ID: node/1909862522 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Furniture, Activity.
Bar: Sara's Kitchen | ID: node/1909863030 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Furniture.
Bar: Les Petits Cons' | ID: node/1916353373 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Boundaries, Activity.
Bar: Acá | ID: node/1919226716 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Maison Pinsa | ID: node/1919227554 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: La Vache et Le Cuisinier | ID: node/1920884233 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Activity, Protection.
Bar: Café Chappe | ID: node/1920885246 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Bimbo | ID: node/1920885247 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: La Cave Café | ID: node/1927627184 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Protection.
Bar: L’Étranger | ID: node/1941555013 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Bar du Métro | ID: node/2000813093 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Architecture.
Bar: La Cantine de la Cigale | ID: node/2038629581 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Patakrep | ID: node/2082397959 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: L'Absurde Imposture | ID: node/2087542131 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Architecture.
Bar: Aji Ramen | ID: node/2139915871 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Japikeo | ID: node/2139915880 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Le Relais Gascon | ID: node/2141357509 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Architecture.
Bar: Sole di Sardegna | ID: node/2148901348 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: Augustin | ID: node/2180084668 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Furniture.
Bar: Pho 68 | ID: node/2207469225 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Furniture.
Bar: South Pigalle | ID: node/2242819125 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Furniture.
Bar: Joséphine | ID: node/2245381991 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Activity.
Bar: Pajolini | ID: node/2245452103 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Activity.
Bar: Le Blanco | ID: node/2247185908 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Furniture.
Bar: Le Commerce | ID: node/2247185911 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Furniture.
Bar: Le Monde de Léa | ID: node/2247185914 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Protection.
Bar: E Ma Ho | ID: node/2247185920 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Furniture.
Bar: Restaurant Locomotive | ID: node/2256214691 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Furniture.
Bar: New Thai San | ID: node/2256214694 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Activity.
Bar: Café de la Poste | ID: node/2258450453 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Architecture.
Bar: Quelli di la | ID: node/2258450459 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Furniture, Activity.
Bar: Eden Flower | ID: node/2267078074 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Architecture.
Bar: Triangle d'or | ID: node/2268459870 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Bon Couscous | ID: node/2268459882 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Boundaries, Architecture.
Bar: L'Eterneel | ID: node/2268459926 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Activity, Protection.
Bar: Délices du Mali | ID: node/2268459927 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Wako | ID: node/2270829888 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: La Chope | ID: node/2270829889 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: La Chope à Mou's | ID: node/2274029184 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Maloumarin | ID: node/2275170501 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Activity.
Bar: Café de la Poste | ID: node/2279508873 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Hélène Café | ID: node/2279711294 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Bar-Tabac Le Bergerac | ID: node/2279711295 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Boundaries.
Bar: Mian Dui Mian | ID: node/2279711302 | Verdict: SOUCONTE | Reason: Ambiguous: only found Furniture. Not enough evidence for a full terrace.
Bar: Le refuge | ID: node/2283655494 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: La bâche bleue | ID: node/2285154131 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Stop Chapelle | ID: node/2285154160 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Activity, Boundaries.
Bar: Délice 18 | ID: node/2306504628 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: Ayaan badan | ID: node/2306504629 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: Allo Tandoori | ID: node/2310467202 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: L'Ambassade | ID: node/2310467214 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: Panda | ID: node/2310467218 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Protection, Furniture.
Bar: Thaï 18 | ID: node/2310467220 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: Le Pain Quotidien | ID: node/2312768102 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Protection.
Bar: Le Veneto | ID: node/2317308530 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Architecture, Furniture.
Bar: Tout va Mieux | ID: node/2325915038 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Protection, Architecture.
Bar: Le Môme | ID: node/2328281907 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: Le Celtic | ID: node/2329855383 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Architecture, Boundaries.
Bar: En Vrac | ID: node/2333397301 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: Sushi Ciel | ID: node/2333397315 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Boundaries, Protection.
Bar: Le va et vient du Nord | ID: node/2345324858 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: La Grappe d'Or | ID: node/2345324859 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Protection, Boundaries.
Bar: Le Mistral Gagnant | ID: node/2349337349 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: Bistrot 38 | ID: node/2349345389 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Activity.
Bar: La Belle Époque | ID: node/2349350818 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: Au Baobab | ID: node/2349356972 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Architecture.
Bar: Chez Aicha | ID: node/2350539140 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: À la Goutte d'Or | ID: node/2358422000 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Nemrod | ID: node/2358454956 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Capucin | ID: node/2358457326 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Chez Cyrille | ID: node/2358714324 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: Le Pactole | ID: node/2358718956 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Provençal | ID: node/2361287649 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Furniture.
Bar: La Goutte Rouge | ID: node/2375148543 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Activity, Architecture.
Bar: Sornettes | ID: node/2381421595 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Architecture.
Bar: Le Sancerre | ID: node/2389937619 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: Chez Zeyna | ID: node/2394017308 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Architecture, Furniture.
Bar: Guilo Guilo | ID: node/2397031881 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Au Petit Rozey | ID: node/2405090461 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Furniture.
Bar: L'Oxalys | ID: node/2406016122 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: Sourire de Saïgon | ID: node/2406017169 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Architecture, Furniture.
Bar: Le Fontenoy | ID: node/2406019609 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Furniture.
Bar: Au Bon Coin | ID: node/2445876964 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Furniture.
Bar: Au Bon Coin | ID: node/2445876965 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Brasserie de la Goutte d'Or | ID: node/2461799896 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Boundaries.
Bar: La Vieille Pie | ID: node/2463415975 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Furniture, Activity.
Bar: Les Orgues | ID: node/2469001986 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Les Orgues | ID: node/2469003480 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Protection, Activity.
Bar: Le Bistrot du Nord | ID: node/2469138456 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Architecture.
Bar: Café de la Gare | ID: node/2472600007 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Café Hébert | ID: node/2472600013 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: La Rotonde Hébertine | ID: node/2472600019 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Architecture, Protection.
Bar: Corso | ID: node/2483387635 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Activity, Protection.
Bar: Côté Soleil | ID: node/2483388470 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: Jules Jo | ID: node/2494555629 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Bangou Lunch | ID: node/2502812285 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Protection, Furniture.
Bar: La Vie est Belle | ID: node/2523656923 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Jasmin Café | ID: node/2523656924 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Côté Canal | ID: node/2535848629 | Verdict: SOUCONTE | Reason: Ambiguous: only found Activity. Not enough evidence for a full terrace.
Bar: L'imprévu | ID: node/2536062861 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Architecture.
Bar: O'MoKa | ID: node/2536393039 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Boundaries, Furniture.
Bar: Chez Lalla | ID: node/2555957191 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Refuge des Moines | ID: node/2557579588 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Activity, Boundaries.
Bar: Le Petit Trianon | ID: node/2582207279 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Activity.
Bar: Rossini | ID: node/2590139278 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: L'Olympic | ID: node/2623630915 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: Le Petit Vélo | ID: node/2624677961 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: Le Vintimille | ID: node/2624677962 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Architecture, Boundaries.
Bar: Le Valois | ID: node/2624677963 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Boundaries.
Bar: Five Pizza | ID: node/2635358849 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Boundaries.
Bar: La Dolce Vita | ID: node/2638419667 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Protection, Furniture, Architecture.
Bar: Sekitan | ID: node/2650871422 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Furniture.
Bar: Churrasco Galo | ID: node/2686660884 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: L'escale | ID: node/2696727064 | Verdict: SOUCONTE | Reason: Ambiguous: only found Boundaries. Not enough evidence for a full terrace.
Bar: La Forêt Noire | ID: node/2696729883 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Furniture, Protection, Boundaries.
Bar: Les deux Marches | ID: node/2696736610 | Verdict: ABSENT | Reason: No terrace markers detected. Photos show a closed facade or indoor-only setup.
Bar: La Maison Thaï | ID: node/2702353802 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Boundaries, Architecture.
Bar: Mandeeq | ID: node/2704908570 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Boundaries, Furniture.
Bar: Sabor Latino | ID: node/2708996510 | Verdict: SOUCONTE | Reason: Ambiguous: only found Architecture. Not enough evidence for a full terrace.
Bar: Le Carolus | ID: node/2756226765 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Activity, Boundaries.
Bar: Les Merveilles Délice d'Afrique | ID: node/2773538950 | Verdict: SOUCONTE | Reason: Ambiguous: only found Protection. Not enough evidence for a full terrace.
Bar: Yak Café | ID: node/2781160733 | Verdict: CONFIRMÉ | Reason: Confirmed terrace based on markers: Architecture, Activity, Boundaries.
